violation_desc,violation_type
DRIVE THROUGH OR PASS A BARRICADE,UNSAFEDRIVING
TURNING LEFT WHERE LEFT TURNS ARE PROHIBITED,UNSAFEDRIVING
PERMIT USE OF EXPIRED TAGS,UNSAFEOPER
POORLY ILLUMINATED TAGS,UNSAFEOPER
FAIL TO PULL OVER FOR FIRE APPARATUS,UNSAFEDRIVING
DRIVING A TRUCK THROUGH A RESTRICTED STREET,UNSAFEDRIVING
SPEED UP TO TEN MPH OVER THE SPEED LIMIT,HIGHSPEED
IMPROPER TURN,UNSAFEDRIVING
DRIVE AT UNREASONABLE SPEED,LOWSPEED
DRIVING ON THE WRONG SIDE OF THE STREET,UNSAFEDRIVING
DEFECTIVE WINDSHIELD,UNSAFEVEHICLE
IMPROPER LIGHT(S),UNSAFEVEHICLE
OPERATING VEHICLE WITH OPEN ALCOHOL CONTAINER,UNSAFEDRIVING
EXPIRED PERMIT 90 DAYS,UNSAFEOPER
OBJECT HANGING IN VEHICLE SO AS TO OBSTRUCT VISION,UNSAFEOPER
VIOLATION OF NO TURN SIGN,UNSAFEDRIVING
OBSTRUCTED TAGS,UNSAFEOPER
DRIVE OFF THE ROADWAY,UNSAFEDRIVING
OPERATING VEHICLE LEARNER PERMIT NO LICENSE,UNSAFEOPER
OPERATE A VEHICLE IN VIOLATION OF A RESTRICTION,UNSAFEOPER
TRUCK RESTRICTED ROUTE,UNSAFEDRIVING
FAIL TO YIELD TO AN EMERGENCY VEHICLE,UNSAFEDRIVING
SPEED 11-15 MPH OVER THE SPEED LIMIT,HIGHSPEED
TURN RIGHT ON RED WHEN PROHIBITED,UNSAFEDRIVING
UNSAFE TIRE(S),UNSAFEVEHICLE
CDL NOT-OUT-OF-SERVICE VIOLATION,UNSAFEOPER
"UNREGISTERED VEHICLE, MORE THAN 30 DAYS",UNSAFEOPER
IMPROPER TURN AT AN INTERSECTION,UNSAFEDRIVING
DRIVING ON MEDIAN OR CHANNELIZING TRAFFIC ISLAND,UNSAFEDRIVING
PASSING  VEHICLE ON RIGHT,UNSAFEDRIVING
CDL OUT-OF-SERVICE VIOLATION,UNSAFEOPER
OVERWEIGHT COMMERCIAL MOTOR VEHICLE,UNSAFEVEHICLE
VIOLATION OF RESTRICTION ON LEARNER'S PERMIT,UNSAFEOPER
COVERED LICENSE PLATE,UNSAFEVEHICLE
VIOLATION OF TINTED WINDOWS REGULATIONS,UNSAFEVEHICLE
FAIL TO KEEP RIGHT,UNSAFEDRIVING
NO FRONT TAGS,UNSAFEOPER
FAIL TO YIELD RIGHT OF WAY  PEDESTRIAN IN ROADWAY,UNSAFEDRIVING
FAIL TO SECURE DC TAGS,UNSAFEOPER
FAIL TO DISPLAY CURRENT INSPECTION STICKER,UNSAFEOPER
OPERATING WITH A TORN FENDER,UNSAFEVEHICLE
DRIVING A BUS THROUGH A RESTRICTED STREET,UNSAFEDRIVING
FAIL TO PROPERLY FASTEN TAGS TO VEHICLE,UNSAFEOPER
PERMIT OPERATION OF AN UNSAFE VEHICLE,UNSAFEOPER
INTERFERE WITH TRAFFIC WHEN PULLING FROM CURB,UNSAFEDRIVING
BIKE/PMD FAIL YIELD ROW TO PED SIDEWALK/CROSSWALK,UNSAFEDRIVING
EXCESSIVE IDLING,LOWSPEED
VIOLATE BRIDGE LOAD LIMIT,UNSAFEDRIVING
OPERATE UNSAFE VEHICLE,UNSAFEVEHICLE
DRIVE THROUGH OR WITHIN A SAFETY ZONE,UNSAFEDRIVING
OBSTRUCTED WINDSHIELD,UNSAFEVEHICLE
OPERATE VEHICLE IN UNSAFE MECHANICAL CONDITION,UNSAFEVEHICLE
OVERHEIGHT VEHICLE,UNSAFEVEHICLE
SPEED 21-25 MPH OVER THE SPEED LIMIT,HIGHSPEED
SPEED 26-30 MPH OVER THE SPEED LIMIT,HIGHSPEED
FAIL TO HAVE DC TAGS,UNSAFEOPER
"CANCELLED, SUSPENDED, REVOKED, OR ALTERED PERMIT",UNSAFEOPER
FAIL TO PROPERLY AFFIX REGISTRATION STICKERS,UNSAFEOPER
OBSTRUCTING CROSSWALK OR INTERSECTION,OTHER
BIKE/PMD FAIL TO YIELD RIGHT OF WAY  TO PED OR VEH,UNSAFEDRIVING
COMMERCIAL VEHICLE OPERATING WHILE IN PARK,UNSAFEDRIVING
DRIVE VEHICLE ON THE WHEEL RIM WITHOUT A TIRE,UNSAFEVEHICLE
LITTERING FROM VEHICLE ON PRIVATE/PUBLIC PROPERTY,UNSAFEDRIVING
LEAVING A MOTOR RUNNING UNATTENDED,UNSAFEDRIVING
FAIL TO REPORT FOR INSPECTION,UNSAFEOPER
PASSING IN AN INTERSECTION,UNSAFEDRIVING
PASSING APPROACHING FIRE APPARATUS,UNSAFEDRIVING
OPERATE UNREGISTERED MOTOR DRIVEN CYCLE,UNSAFEOPER
OPERATE VEHICLE WITH DOORS OPEN,UNSAFEDRIVING
VIOLATION OF THE CHILD RESTRAINT ACT,UNSAFEDRIVING
NO REAR VIEW MIRROR(S),UNSAFEVEHICLE
UNNECESSARY NOISE FROM HORN,UNSAFEDRIVING
FAIL TO WEAR  HELMET MOTORCYCLE/MOTOR DRIVEN CYCLE,UNSAFEDRIVING
FAIL TO YIELD TO PEDESTRIAN ON SIDEWALK,UNSAFEDRIVING
FAIL TO FILE AN ACCIDENT REPORT,OTHER
FAIL TO CHANGE ADDRESS ON PERMIT,UNSAFEOPER
DISOBEYING OFFICIAL TRAFFIC CONTROL DEVICE,UNSAFEDRIVING
FOLLOW WITHIN FIVE HUNDRED FEET OF FIRE APPARATUS,UNSAFEDRIVING
FAIL TO BACK INTO PARKING SPACE,UNSAFEDRIVING
LESS THAN 18 YRS OLD MANDATORY SEAT BELT VIOL,UNSAFEOPER
FAIL TO STOP PER REGULATIONS AT FLASHING RED LIGHT,UNSAFEDRIVING
USE OF UNREGISTERED VEHICLE,UNSAFEOPER
FAIL TO STOP OUT OF AN ALLEY,UNSAFEDRIVING
FAIL TO SECURE TRASH LOAD,UNSAFEVEHICLE
EXPIRED MEDICAL CERTIFICATE,UNSAFEVEHICLE
LEARNER'S PERMIT WITHOUT ACCOMPANYING CDL HOLDER,UNSAFEOPER
OPER COMM VEH DRIVER NOT PHYSICALLY QUALIFIED OOS,UNSAFEDRIVING
SEAT BELT REGULATION MULTIPLE VIOLATIONS,UNSAFEVEHICLE
TELEVISION VISIBLE TO VEHICLE OPERATOR,UNSAFEDRIVING
FAIL TO OBEY GREEN ARROW TRAFFIC SIGNAL,UNSAFEDRIVING
FAIL TO SLOW AT AN INTERSECTION,UNSAFEDRIVING
PERMIT PASSENGER TO RIDE ON VEHICLE,UNSAFEDRIVING
LOANING TAGS,UNSAFEOPER
FAIL TO USE HAND BRAKE,UNSAFEDRIVING
NO REAR TAGS,UNSAFEOPER
ILLEGIBLE TAGS,UNSAFEOPER
OPERATE A CMV WITHOUT A CDL,UNSAFEOPER
PASS ON LEFT AND TURN RIGHT IN FRONT OF BUS,UNSAFEDRIVING
DRIVE TOO SLOWLY TO IMPEDE OR BLOCK TRAFFIC,LOWSPEED
DRIVING OVER LAWN,UNSAFEDRIVING
IMPROPER USE OF DEALER TAG(S),UNSAFEOPER
FAIL TO YIELD WHEN EMERGING FROM AN ALLEY,UNSAFEDRIVING
BACKING TO TURN,UNSAFEDRIVING
LESS THAN 18 YRS OLD PASSENGER RESTRAINT VIOL,UNSAFEOPER
NO MEDICAL CERTIFICATE IN DRIVER'S POSS - OOS,UNSAFEOPER
FAIL TO OBEY TRAFFIC CONTROL DEVICE COMM VEHICLE,UNSAFEOPER
FAIL TO SECURE LOAD ON VEHICLE,UNSAFEVEHICLE
FAIL TO CHANGE ADDRESS ON REGISTRATION,UNSAFEOPER
UNAUTHORIZED LIGHTS ON VEHICLE,UNSAFEVEHICLE
"OBSTRUCTED, REAR, FRONT OR SIDE VISION IN VEHICLE",UNSAFEVEHICLE
UNNECESSARY NOISE,UNSAFEVEHICLE
IMPROPERLY RIDING ON VEHICLE,UNSAFEDRIVING
PASSING WITH AN OBSTRUCTED VIEW,UNSAFEVEHICLE
BAD FOOT BRAKES,UNSAFEVEHICLE
UNAUTHORIZED PERSON -PASSENGER VEHICLE,UNSAFEDRIVING
TINTED WINDOW VIOLATION FAIL TO COMPLY 1,UNSAFEVEHICLE
ILLEGAL HEADLIGHT(S),UNSAFEVEHICLE
COMMERCIAL VEHICLE SPILT LOAD,UNSAFEVEHICLE
FAIL OR REFUSE TO FOLLOW POLICE OFFICER DIRECTION,OTHER
DO NOT USE,OTHER
DRIVE OVER MEDIAN,UNSAFEDRIVING
PROVISIONAL PERMIT PASSENGER RESTRICTION,UNSAFEOPER
NO SHIPPING PAPER,UNSAFEOPER
RIDE BIKE/PMD  SIDEWALK  CENTRAL BUSINESS DISTRICT,UNSAFEDRIVING
CARRY PASSENGER OR FAIL TO RIDE ON SEAT,UNSAFEDRIVING
NA,OTHER
REFUSING TO PAY A TAXICAB FARE,OTHER
FAIL TO OBEY CIVILIAN TRAFFIC OFFICER,UNSAFEDRIVING
OVERTAKING VEHICLE STOPPED AT XWALK FOR PEDESTRIAN,UNSAFEDRIVING
FAIL TO STOP FOR APPROACHING SCHOOL BUS,UNSAFEDRIVING
NO REAR VIEW MIRROR ON MINIBIKE,UNSAFEVEHICLE
INTERSTATE DRIVER UNDER 21 YEARS OF AGE OOS,UNSAFEOPER
OVERLENGTH COMMERCIAL MOTOR VEHICLE,UNSAFEVEHICLE
FAIL TO HAVE MOTORCYCLE PERMIT,UNSAFEOPER
TURNED OFF HEADLIGHTS,UNSAFEDRIVING
LOAD OVER FENDER(S),UNSAFEVEHICLE
RIGHT TURN ON RED FAIL YIELD PEDESTRIAN/VEHICLE,UNSAFEDRIVING
DISTRACTED DRIVING WHILE OPERATING SCHOOL BUS,UNSAFEDRIVING
DRIVE OVER A FIRE HOSE,UNSAFEDRIVING
"BUS LANE, UNAUTHRIZED DRIVING IN A",UNSAFEDRIVING
EXCESSIVE SMOKE,UNSAFEVEHICLE
BAD HAND BRAKES,UNSAFEVEHICLE
DEFECTIVE MUFFLER,UNSAFEVEHICLE
NOT FOR HIRE TAXICAB ON TAXICAB STAND,UNSAFEDRIVING
FAIL TO USE SEATBELT IN CMV,UNSAFEDRIVING
GREATER VEHICLE WIDTH THAN PERMITTED,UNSAFEVEHICLE
PERMIT BAD BRAKES,UNSAFEVEHICLE
IMPROPER DEALER TAGS,UNSAFEOPER
NON-ENGLISH SPEAKING DRIVER - CMV - OOS,UNSAFEDRIVING
IMPROPER MEDICAL EXAMINER'S CERTIFICATE FORM,UNSAFEOPER
ALTERING A DRIVING PERMIT,UNSAFEOPER
NOT LICENSED FOR TYPE OF VEHICLE BEING OPERATED,UNSAFEOPER
PASSING ON A CURVE,UNSAFEDRIVING
UNAUTHORIZED USE OF SIREN,UNSAFEDRIVING
FAIL TO APPLY DC TAG,UNSAFEOPER
WINDSHIELD NOT IN OPERATING CONDITION,UNSAFEVEHICLE
NO VALID MEDICAL WAIVER IN DRIVER'S POSSESSION,UNSAFEOPER
MOTORCYCLE PASSING IN TANDEM,UNSAFEDRIVING
PROVISIONAL PERMIT NIGHT RESTRICTION,UNSAFEOPER
UNLICENSED DC OPERATOR,UNSAFEOPER
SMOKE SCREEN,UNSAFEVEHICLE
NO OR INVALID DRIVER'S LICENSE IN CMV,UNSAFEOPER
OVERWIDTH COMMERCIAL MOTOR VEHICLE,UNSAFEVEHICLE
SPEEDING IN CMV 15 MPH OVER SPEED LIMIT,HIGHSPEED
FAIL TO SECURE SHIPPING CRATE LOAD,UNSAFEVEHICLE
NO INSPECTION STICKER ON A TAXICAB,UNSAFEOPER
ENTER A BLOCK WITH FIRE APPARATUS PRESENT,UNSAFEDRIVING
FAIL TO TURN IN DC TAGS,UNSAFEOPER
HAZMAT OUT-OF-SERVICE VIOLATION,UNSAFEOPER
UNSAFE BUMPER,UNSAFEVEHICLE
LEARNER'S  PERMIT  AGE RESTRICTION,UNSAFEOPER
HAZMAT NOT-OUT-OF-SERVICE VIOLATIONS,UNSAFEOPER
SOLICIT RIDE ON THE SIDE OF THE ROADWAY,OTHER
INTERFERE WITH A TRAFFIC SIGNAL DEVICE,UNSAFEDRIVING
VEHICLE NOT PLACARDED AS REQUIRED,UNSAFEOPER
PASS A FLASHING YELLOW TRAFFIC SIGNAL,UNSAFEDRIVING
DRIVING CMV (CDL) WHILE DISQUALIFIED - OOS,UNSAFEOPER
DEFECTIVE SPEEDOMETER,UNSAFEVEHICLE
FAIL TO REPLACE INSPECTION STICKER,UNSAFEOPER
FAIL TO LOCK IGNITION,UNSAFEVEHICLE
NO REAR MIRROR ON A MOTORCYCLE,UNSAFEVEHICLE
OVERHEIGHT COMMERCIAL MOTOR VEHICLE,UNSAFEVEHICLE
NO DRIVER'S RECORD OF DUTY STATUS,UNSAFEOPER
OPERATING VEHICLE WITH CONDITIONAL INSPECTION,UNSAFEVEHICLE
DRIVE THROUGH A FUNERAL PROCESSION,UNSAFEDRIVING
OPERATING AN OUT OF SERVICE VEHICLE,UNSAFEVEHICLE
NO FENDER(S) OR BUMPER(S),UNSAFEVEHICLE
LENGTH OVER 40'/55',UNSAFEVEHICLE
DEALER VEHICLE WITHOUT REGISTRATION,UNSAFEOPER
FAILURE TO ANSWER A CITATION,OTHER
SPEEDING TO PREVENT A VEHICLE FROM PASSING,HIGHSPEED
SPEEDING IN CMV UP TO 10 MPH OVER SPEED LIMIT,HIGHSPEED
DRIVER'S RECORD OF DUTY STATUS NOT CURRENT,UNSAFEOPER
OVERWEIGHT UP TO 5000 POUNDS OVER LIMIT,UNSAFEVEHICLE
"LICENSE/PERMIT, DISPLAY OR USING ANOTHER PERSON'S",UNSAFEOPER
BOARD A VEHICLE WHILE IT IS IN MOTION,UNSAFEDRIVING
FAIL TO USE RUNNING LIGHT(S),UNSAFEDRIVING
FAIL TO TURN WHEEL TO CURB,UNSAFEDRIVING
VIOLATION OF IGNITION INTERLOCK RESTRICTION,UNSAFEVEHICLE
DISPLAY ALTERED INSURANCE STICKER,UNSAFEOPER
PERMIT USE OF LICENSE BY ANOTHER PERSON,UNSAFEOPER
NO RED FLAG ON END OF LOAD,UNSAFEOPER
LOG VIOLATION (GENERAL / FORM AND MANNER) CMV,OTHER
VIOLATION OF TOWING REGULATIONS,OTHER
BIKE REMOVING REGISTRATION NUMBER,UNSAFEOPER
COAST WITH GEARS UNMESHED,UNSAFEVEHICLE
OPERATING STEAM SHOVEL DURING RESTRICTED HOURS,UNSAFEOPER
DESCRIPTION OF HM ON SHIPPING PAPER,OTHER
DRIVER FAILS TO MAINTAIN PREVIOUS 7 DAYS LOGS,OTHER
MOTORCYCLE/ MOTOR DRIVEN CYCLE IMPROPER RIDING  ON,UNSAFEVEHICLE
FAIL TO TRANSFER DC TITLE,UNSAFEOPER
DRIVE TRUCK WITH RESTRICTED PERMIT,UNSAFEOPER
FALSE REPORT OF DRIVER'S DUTY STATUS,UNSAFEOPER
OPERATING A MINIBIKE WHILE UNLICENSED,UNSAFEOPER
DISPLAY FAKE INSPECTION STICKER,UNSAFEOPER
VIOLATION OF SNOW EMERGENCY PARKING REGULATIONS,UNSAFEOPER
FAIL TO KEEP RIGHT IN A FUNERAL PROCESSION,UNSAFEDRIVING
DRIVE CMV W/O PROPER CLASS OR ENDORSEMENTS ON DL,UNSAFEOPER
SPEED 31 OR MORE MPH OVER THE SPEED LIMIT,HIGHSPEED
PEDESTRIAN OBSTRUCTING TRAFFIC IN ROADWAY,OTHER
PASS ON A HILL,UNSAFEDRIVING
NO SNOW TIRE OR CHAIN,UNSAFEVEHICLE
REMOVE INSPECTION STICKER,UNSAFEOPER
FAIL TO FILE OR INCOMPLETE ACCIDENT REPORT,OTHER
SECURE A PERMIT USING A FALSE STATEMENT,UNSAFEOPER
HIGH OCCUPANCY VEHICLE VIOLATION,UNSAFEOPER
UNAUTHORIZED USE OF EMERGENCY PARKING PERMIT,UNSAFEOPER
WORK ZONE VIOLATION - FINE DOUBLES,UNSAFEDRIVING
VIOLATION OF TUNNEL RESTRICTIONS,UNSAFEDRIVING
SPEEDING IN CMV 11-14 MPH OVER SPEED LIMIT,HIGHSPEED
FAILURE TO MAKE REQUIRED PAYMENT OF FINE,OTHER
UNAPPROVED VEHICLE OPERATOR,UNSAFEOPER
10 HOUR RULE VIOLATION (PASSENGER),UNSAFEOPER
OPERATING WITHOUT  WINDSHIELD WIPERS,UNSAFEVEHICLE
FAIL TO DISPLAY PSC LICENSE IN TAXICAB,UNSAFEOPER
LESS THAN 18 YRS OLD NIGHT RESTRICTION,UNSAFEOPER
TINTED WINDOW VIOLATION FAIL TO COMPLY 2,UNSAFEVEHICLE
SCHOOL ZONE VIOLATION - FINE DOUBLES,UNSAFEDRIVING
NO COPY OF USDOT HM REGISTRATION NUMBER,UNSAFEOPER
NO SPEEDOMETER,UNSAFEVEHICLE
