violation_desc,violation_type
FAIL TO SECURE TRASH LOAD,UNSAFEVEHICLE
SPEED 26-30 MPH OVER THE SPEED LIMIT,HIGHSPEED
DEAD OR EXPIRED TAGS,UNSAFEOPER
FAIL TO PULL OVER FOR FIRE APPARATUS,UNSAFEDRIVING
OBSTRUCTING CROSSWALK OR INTERSECTION,UNSAFEDRIVING
FAIL TO REPORT FOR INSPECTION,UNSAFEOPER
COAST WITH GEARS UNMESHED,UNSAFEDRIVING
BACK UP WITHOUT CAUTION,UNSAFEDRIVING
DRIVE OVER A SIDEWALK,UNSAFEDRIVING
VIOLATION OF TINTED WINDOWS REGULATIONS,UNSAFEVEHICLE
LITTERING FROM VEHICLE ON PRIVATE/PUBLIC PROPERTY,OTHER
BAD FOOT BRAKES,UNSAFEVEHICLE
PASSING IN AN INTERSECTION,UNSAFEDRIVING
OPEN DOOR TO APPROACHING TRAFFIC,UNSAFEDRIVING
FAIL TO YIELD TO AN EMERGENCY VEHICLE,UNSAFEDRIVING
BACKING TO TURN,UNSAFEDRIVING
DRIVING ON MEDIAN OR CHANNELIZING TRAFFIC ISLAND,UNSAFEDRIVING
UNNECESSARY NOISE FROM HORN,UNSAFEDRIVING
FAIL TO OBEY GREEN ARROW TRAFFIC SIGNAL,UNSAFEDRIVING
IMPROPER TURN AT AN INTERSECTION,UNSAFEDRIVING
NOT FOR HIRE TAXICAB ON TAXICAB STAND,UNSAFEDRIVING
OPERATE UNSAFE VEHICLE,UNSAFEVEHICLE
UNSAFE TIRE(S),UNSAFEVEHICLE
INTERSTATE DRIVER UNDER 21 YEARS OF AGE OOS,UNSAFEOPER
UNNECESSARY NOISE,UNSAFEDRIVING
OPERATING HIGH BEAM LIGHTS,UNSAFEDRIVING
OVERWEIGHT COMMERCIAL MOTOR VEHICLE,UNSAFEVEHICLE
FAIL TO STOP PER REGULATIONS AT FLASHING RED LIGHT,UNSAFEDRIVING
IMPROPER LIGHT(S),UNSAFEVEHICLE
FAIL TO EXHIBIT DRIVER'S LICENSE OR PERMIT,UNSAFEOPER
OBSTRUCTING TRAFFIC,LOWSPEED
SEAT BELT REGULATION MULTIPLE VIOLATIONS,UNSAFEDRIVING
FAIL TO KEEP RIGHT,UNSAFEDRIVING
POORLY ILLUMINATED TAGS,UNSAFEOPER
VIOLATION OF RESTRICTION ON LEARNER'S PERMIT,UNSAFEOPER
FAIL TO STOP OUT OF AN ALLEY,UNSAFEDRIVING
PASS ON LEFT AND TURN RIGHT IN FRONT OF BUS,UNSAFEDRIVING
LEARNER'S PERMIT WITHOUT ACCOMPANYING CDL HOLDER,UNSAFEOPER
OPERATE A VEHICLE IN VIOLATION OF A RESTRICTION,UNSAFEOPER
BAD HAND BRAKES,UNSAFEVEHICLE
NO PERMIT PAST EXPIRATION DATE PLUS 90 DAYS,UNSAFEOPER
DRIVE VEHICLE ON THE WHEEL RIM WITHOUT A TIRE,UNSAFEVEHICLE
OPERATING VEHICLE WITH OPEN ALCOHOL CONTAINER,UNSAFEDRIVING
FAIL TO SECURE DC TAGS,UNSAFEOPER
DEFECTIVE WINDSHIELD,UNSAFEVEHICLE
FAIL TO PROPERLY AFFIX REGISTRATION STICKERS,UNSAFEOPER
DRIVE THROUGH OR PASS A BARRICADE,UNSAFEDRIVING
FAIL TO YIELD RIGHT OF WAY  PEDESTRIAN IN ROADWAY,UNSAFEDRIVING
BIKE/PMD FAIL YIELD ROW TO PED SIDEWALK/CROSSWALK,UNSAFEDRIVING
FAIL TO YIELD WHEN EMERGING FROM AN ALLEY,UNSAFEDRIVING
NO SPEEDOMETER,UNSAFEVEHICLE
OPERATE VEHICLE IN UNSAFE MECHANICAL CONDITION,UNSAFEVEHICLE
EXCESSIVE SMOKE,UNSAFEVEHICLE
FAIL TO CHANGE ADDRESS ON PERMIT,UNSAFEOPER
OPERATE VEHICLE WITH DOORS OPEN,UNSAFEDRIVING
FAIL TO REPLACE INSPECTION STICKER,UNSAFEOPER
PASSING WITH AN OBSTRUCTED VIEW,UNSAFEDRIVING
DRIVE OFF THE ROADWAY,UNSAFEDRIVING
NO REAR VIEW MIRROR(S),UNSAFEVEHICLE
PERMIT USE OF EXPIRED TAGS,UNSAFEOPER
PERMIT UNLICENSED DRIVER TO OPERATE VEHICLE,UNSAFEOPER
COMMERCIAL VEHICLE OPERATING WHILE IN PARK,UNSAFEDRIVING
BIKE/PMD FAIL TO YIELD RIGHT OF WAY  TO PED OR VEH,UNSAFEDRIVING
FAIL TO TURN IN DC TAGS,UNSAFEOPER
RIDE BIKE/PMD  SIDEWALK  CENTRAL BUSINESS DISTRICT,UNSAFEDRIVING
OPERATE UNREGISTERED MOTOR DRIVEN CYCLE,UNSAFEOPER
EXCESSIVE IDLING,LOWSPEED
PASSING APPROACHING FIRE APPARATUS,UNSAFEDRIVING
GREATER VEHICLE WIDTH THAN PERMITTED,UNSAFEVEHICLE
"CANCELLED, SUSPENDED, REVOKED, OR ALTERED PERMIT",UNSAFEOPER
INTERFERE WITH A TRAFFIC SIGNAL DEVICE,UNSAFEDRIVING
DRIVE TOO SLOWLY TO IMPEDE OR BLOCK TRAFFIC,LOWSPEED
EXPIRED PERMIT 90 DAYS,UNSAFEOPER
DRIVE THROUGH OR WITHIN A SAFETY ZONE,UNSAFEDRIVING
TRUCK RESTRICTED ROUTE,UNSAFEDRIVING
DEFECTIVE MUFFLER,UNSAFEVEHICLE
EXPIRED INSPECTION STICKER,UNSAFEOPER
ALTERED TAGS,UNSAFEOPER
FAIL TO STOP FOR APPROACHING SCHOOL BUS,UNSAFEDRIVING
MOTOR DRIVEN CYCLE SPEED > 30 MPH,HIGHSPEED
FAIL TO OBEY CIVILIAN TRAFFIC OFFICER,UNSAFEDRIVING
FAIL TO OBEY TRAFFIC CONTROL DEVICE COMM VEHICLE,UNSAFEDRIVING
FAIL TO YIELD TO PEDESTRIAN AT NON-SIGNALIZED SITE,UNSAFEDRIVING
DISTRACTED DRIVING WHILE OPERATING SCHOOL BUS,UNSAFEDRIVING
OPERATING CMV WITH LAMPS/REFLECTORS OBSCURED,UNSAFEDRIVING
DRIVE OVER A FIRE HOSE,UNSAFEDRIVING
PROHIBITED/PERMISSIVE PLACARDING,UNSAFEOPER
FAIL TO EXHIBIT REGISTRATION,UNSAFEOPER
DISOBEYING OFFICIAL TRAFFIC CONTROL DEVICE,UNSAFEDRIVING
DRIVE THROUGH A FUNERAL PROCESSION,UNSAFEDRIVING
CDL OUT-OF-SERVICE VIOLATION,UNSAFEVEHICLE
TURN RIGHT ON RED WITHOUT COMPLETE STOP,UNSAFEDRIVING
ILLEGIBLE TAGS,UNSAFEOPER
FAIL TO USE RUNNING LIGHT(S),UNSAFEDRIVING
USE OF UNREGISTERED VEHICLE,UNSAFEOPER
TINTED WINDOW VIOLATION FAIL TO COMPLY 1,UNSAFEVEHICLE
TURNED OFF HEADLIGHTS,UNSAFEDRIVING
IMPROPER DEALER TAGS,UNSAFEOPER
ILLEGAL HEADLIGHT(S),UNSAFEVEHICLE
NO MEDICAL CERTIFICATE IN DRIVER'S POSS - OOS,UNSAFEOPER
COLLIDING WITH PEDESTRIAN,UNSAFEDRIVING
NO RED FLAG ON END OF LOAD,UNSAFEVEHICLE
FAIL TO USE SEATBELT IN CMV,UNSAFEDRIVING
FOLLOW WITHIN FIVE HUNDRED FEET OF FIRE APPARATUS,UNSAFEDRIVING
FAIL TO SECURE LOAD ON VEHICLE,UNSAFEVEHICLE
LOG VIOLATION (GENERAL / FORM AND MANNER) CMV,OTHER
VIOLATION OF TUNNEL RESTRICTIONS,UNSAFEVEHICLE
OVERLENGTH COMMERCIAL MOTOR VEHICLE,UNSAFEVEHICLE
EXPIRED MEDICAL CERTIFICATE,UNSAFEOPER
LENGTH OVER 40'/55',UNSAFEVEHICLE
NOT LICENSED FOR TYPE OF VEHICLE BEING OPERATED,UNSAFEOPER
DRIVER FAILS TO MAINTAIN PREVIOUS 7 DAYS LOGS,UNSAFEOPER
NO OR INVALID DRIVER'S LICENSE IN CMV,UNSAFEOPER
NO VALID MEDICAL WAIVER IN DRIVER'S POSSESSION,UNSAFEOPER
NO COPY OF USDOT HM REGISTRATION NUMBER,UNSAFEOPER
IMPROPER USE OF DEALER TAG(S),UNSAFEOPER
FAIL TO HAVE DC TAGS,UNSAFEOPER
LOAD OVER FENDER(S),UNSAFEVEHICLE
UNLICENSED DC OPERATOR,UNSAFEOPER
FAIL TO YIELD TO PEDESTRIAN ON SIDEWALK,UNSAFEDRIVING
